500 6000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
1 11 -10000
2 10 -10000
